"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","z_score"
4,2017,7,18,2017-07-18,69.4,67.9,1019.6,4,5.5,8.9,NA,78.1,62.1,0,1,706,1.32155656115782
7,2019,7,26,2019-07-26,67.1,58.9,1024,9.4,3.4,8.9,NA,78.1,59,0,1,650,0.973932074677049
1,2014,8,9,2014-08-09,70.4,61.3,1017.2,9.9,6.4,8.9,NA,78.1,60.1,0,0,538,0.278683101715499
5,2014,8,6,2014-08-06,70.1,65.7,1010.1,4.4,4.3,8.9,NA,78.1,66,0.01,1,562,0.427665024492974
5,2013,7,31,2013-07-31,70.6,62.6,1019.3,10,6.7,8.9,NA,78.1,64.9,0,0,553,0.371796803451421
7,2013,9,20,2013-09-20,62.6,58.5,1018.4,9.5,6.2,8.9,NA,71.1,53.6,0.01,0,631,0.855988052478215
2,2016,6,26,2016-06-26,60.8,49.4,1023.3,10,5.7,8.9,NA,71.1,50,0,0,582,0.551816626807536
7,2013,10,4,2013-10-04,62.8,57.5,1017.7,9.3,5.2,8.9,NA,71.1,53.6,0.01,1,658,1.02359271560287
7,2018,8,17,2018-08-17,74.9,72.1,1018,6.3,5.1,8.9,NA,87.1,66,0,1,703,1.30293382081064
2,2015,3,1,2015-03-01,23.1,14.2,1037.5,9.1,5.1,8.9,NA,30.9,10,0,0,693,1.24085801965336
7,2018,6,1,2018-06-01,58.6,58.4,1012.6,4.8,6.2,8.9,NA,64.9,51.1,0.13,1,751,1.60089766636559
3,2016,9,26,2016-09-26,55.2,41.1,1021.6,10,5.3,8.9,NA,64.9,44.1,0,0,623,0.80632741155239
1,2017,8,26,2017-08-26,64.1,56.8,1023,9.9,3.7,8.9,NA,73.9,54,0,0,570,0.477325665418799
7,2014,8,1,2014-08-01,67.5,62.9,1023.5,9,5.3,8.9,NA,73.9,59,0.01,0,667,1.07946093664443
6,2019,6,27,2019-06-27,61.4,60.1,1019.2,5.6,4.2,8.9,NA,73.9,57,0.13,1,734,1.49536880439821
4,2013,8,6,2013-08-06,66.2,54.5,1019.1,10,5.3,8.9,NA,73.9,55.9,0,0,543,0.309721002294139
3,2017,7,31,2017-07-31,63.9,57.3,1017.8,10,4.2,8.9,NA,73.9,50,0,0,656,1.01117755537142
4,2014,6,10,2014-06-10,63.8,60.7,1015.8,8.7,5.6,8.9,NA,66.9,61,0.03,0,569,0.471118085303071
1,2017,10,14,2017-10-14,62.4,62,1026.6,6.7,5.5,8.9,NA,66.9,52,0,0,567,0.458702925071614
1,2017,9,2,2017-09-02,58.7,45.2,1022.4,10,5.3,8.9,NA,66.9,50,0,0,562,0.427665024492974
4,2013,10,22,2013-10-22,59.1,52.4,1012.5,10,6.1,8.9,NA,66.9,39.9,0,0,540,0.291098261946955
2,2017,10,22,2017-10-22,60.6,59.2,1028.8,10,6.9,8.9,NA,66.9,46.9,0,0,528,0.216607300558217
2,2012,8,26,2012-08-26,73.9,62.4,1025.2,10,4.6,8.9,15,82.9,60.8,0,0,471,-0.137224766038286
4,2016,8,30,2016-08-30,67.7,59.2,1020,10,6.1,8.9,NA,82.9,59,0,0,622,0.800119831436662
7,2019,8,2,2019-08-02,71.6,64.1,1019.8,7.4,4.7,8.9,NA,82.9,60.1,0,1,610,0.725628870047924
2,2017,9,17,2017-09-17,64.7,64.2,1021.4,4.8,3.4,8.9,NA,75.9,60.1,0,1,586,0.576646947270449
7,2018,8,24,2018-08-24,67.1,61.5,1021.1,10,4.7,8.9,NA,75.9,55,0,0,681,1.16636705826462
6,2015,9,17,2015-09-17,69.3,65.6,1020.7,7.8,5.9,8.9,NA,75.9,48.9,0,1,744,1.55744460555549
6,2013,10,3,2013-10-03,65.8,56.3,1016.4,10,6.5,8.9,NA,75.9,59,0,0,590,0.601477267733362
1,2019,7,27,2019-07-27,67.1,58.1,1025.2,10,4.9,8.9,NA,75.9,55.9,0,0,602,0.675968229122099
7,2014,1,17,2014-01-17,38.6,35.8,1014.8,6.7,3.7,8.9,NA,44.1,32,0,1,589,0.595269687617633
5,2019,3,20,2019-03-20,36.9,27.1,1029.5,10,6.7,8.9,NA,44.1,24.1,0,0,584,0.564231787038993
1,2018,12,1,2018-12-01,38.3,31.9,1020.3,9.9,5.7,8.9,NA,44.1,33.1,0,0,601,0.669760649006371
3,2013,10,14,2013-10-14,51.5,44,1027,10,4.6,8.9,NA,62.1,41,0,0,440,-0.329659749625858
4,2014,3,25,2014-03-25,26.5,10.5,1019.8,10,4.1,8.9,NA,35.1,15.1,0,0,474,-0.118602025691102
